"Data Cache: Reflectometry Data"
"Start logging at 11/05/2024 15:07:17"
"Current index value = 1978"
Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.630038381	0.183313	0.332731	0	0	15:07:17.629	
0.630049944	0.172291	0.332731	0	0	15:07:18.635	
0.630061746	0.164344	0.336963	0	0	15:07:19.647	
0.630073488	0.156045	0.342751	0	0	15:07:20.658	
0.630084932	0.13786	0.34581	0	0	15:07:21.663	
0.630096793	0.13264	0.349115	0	0	15:07:22.667	
0.630108237	0.127098	0.351915	0	0	15:07:23.669	
0.630120158	0.116896	0.355354	0	0	15:07:24.681	
0.630131602	0.113973	0.359155	0	0	15:07:25.694	
0.630143464	0.110216	0.363056	0	0	15:07:26.704	
0.630154848	0.106011	0.366016	0	0	15:07:27.713	
0.63016659	0.104008	0.370182	0	0	15:07:28.724	
0.630178332	0.0984117	0.378583	0	0	15:07:29.732	
0.630189776	0.0955702	0.39849	0	0	15:07:30.740	
0.630201519	0.0922162	0.412704	0	0	15:07:31.752	
0.630212963	0.0893174	0.421539	0	0	15:07:32.764	
0.630224824	0.0861227	0.429057	0	0	15:07:33.779	
0.630236447	0.0804257	0.435836	0	0	15:07:34.789	
0.630248189	0.0751086	0.442064	0	0	15:07:35.794	
0.630259752	0.0762431	0.44737	0	0	15:07:36.804	
0.630271196	0.0785441	0.451561	0	0	15:07:37.817	
0.630283058	0.0803224	0.455149	0	0	15:07:38.829	
0.630294442	0.0811256	0.459417	0	0	15:07:39.842	
0.630306244	0.0835859	0.460673	0	0	15:07:40.847	
0.630317807	0.0882389	0.461055	0	0	15:07:41.853	
0.630329549	0.0926242	0.46142	0	0	15:07:42.861	
0.630341113	0.0955562	0.46142	0	0	15:07:43.877	
0.630352557	0.0994596	0.46142	0	0	15:07:44.889	
0.630364478	0.105104	0.46142	0	0	15:07:45.900	
0.630376101	0.112459	0.46121	0	0	15:07:46.910	
0.630387962	0.120937	0.460999	0	0	15:07:47.920	
0.630399346	0.12376	0.460047	0	0	15:07:48.935	
0.630411088	0.130728	0.458759	0	0	15:07:49.945	
0.63042289	0.144215	0.454076	0	0	15:07:50.959	
0.630434513	0.163135	0.449307	0	0	15:07:51.968	
0.630446374	0.182038	0.448366	0	0	15:07:52.970	
0.630457759	0.204278	0.444154	0	0	15:07:53.983	
0.630469501	0.223048	0.43542	0	0	15:07:54.994	
0.630481184	0.234624	0.423233	0	0	15:07:56.0	
0.630493045	0.240704	0.411086	0	0	15:07:57.11	
0.630504489	0.273564	0.398784	0	0	15:07:58.25	
0.63051635	0.285054	0.388106	0	0	15:07:59.25	
0.630527973	0.310232	0.382582	0	0	15:08:00.30	
0.630539894	0.348041	0.376888	0	0	15:08:01.40	
0.630551338	0.357398	0.363818	0	0	15:08:02.55	
0.6305632	0.357398	0.353969	0	0	15:08:03.69	
0.630574763	0.370431	0.340125	0	0	15:08:04.78	
0.630586505	0.374952	0.323847	0	0	15:08:05.88	
0.630598128	0.374952	0.317514	0	0	15:08:06.99	
0.630609751	0.374952	0.311964	0	0	15:08:07.107	
0.630621612	0.374404	0.309626	0	0	15:08:08.115	
0.630632997	0.360633	0.309626	0	0	15:08:09.129	
0.630644739	0.325222	0.308039	0	0	15:08:10.140	
0.630656242	0.320409	0.317678	0	0	15:08:11.155	
0.630668104	0.292549	0.319008	0	0	15:08:12.165	
