"Data Cache: Temp PI Data"
"Start logging at 11/05/2024 15:07:26"
"Current index value = 1987"
Day Fraction	Raw Ratio	Ratio Temp	Emiss Temp	Err Ratio Temp	Err Emiss Temp	Time	
0.631122947	1.06989	607.736	590.267	0	0	15:08:51.793	
0.63113457	1.07019	607.62	590.922	0	0	15:08:52.804	
0.631146252	1.081	603.461	591.554	0	0	15:08:53.799	
0.631157994	1.08492	601.953	592.166	0	0	15:08:54.803	
0.631169736	1.09901	597.793	591.888	0	0	15:08:55.815	
0.63118124	1.10754	595.703	591.357	0	0	15:08:56.823	
0.631193101	1.11568	593.709	591.853	0	0	15:08:57.815	
0.631204486	1.11818	593.097	593.862	0	0	15:08:58.827	
0.631216228	1.12582	591.225	595.869	0	0	15:08:59.839	
0.631227851	1.12066	592.489	597.892	0	0	15:09:00.848	
0.631239593	1.10866	595.427	599.628	0	0	15:09:01.860	
0.631251156	1.10663	595.925	599.76	0	0	15:09:02.877	
0.63126272	1.09871	597.866	600.135	0	0	15:09:03.883	
0.631274462	1.08881	600.456	601.13	0	0	15:09:04.874	
0.631285906	1.0872	601.077	601.333	0	0	15:09:05.882	
0.631297767	1.08768	600.893	601.459	0	0	15:09:06.881	
0.631309271	1.08422	602.221	601.237	0	0	15:09:07.893	
0.631321132	1.09297	599.273	601.29	0	0	15:09:08.905	
0.631332755	1.10338	596.721	601.55	0	0	15:09:09.919	
0.631344616	1.10391	596.592	597.731	0	0	15:09:10.923	
0.631356239	1.09357	599.126	593.494	0	0	15:09:11.927	
0.631367981	1.09932	597.718	592.877	0	0	15:09:12.937	
0.631379545	1.10469	596.402	593.311	0	0	15:09:13.950	
0.631391168	1.10121	597.254	593.383	0	0	15:09:14.961	
0.631403029	1.10138	597.213	592.953	0	0	15:09:15.952	
0.631414473	1.10066	597.389	592.947	0	0	15:09:16.970	
0.631426394	1.09636	598.442	592.661	0	0	15:09:17.979	
0.631437957	1.08793	600.797	592.265	0	0	15:09:18.970	
0.631449699	1.04987	615.434	592.669	0	0	15:09:19.984	
